 80 81 6480
     7.853981633974483e-02 -3.6413928930363398395186891e-01 3.9363707223278898705842721e-01 6.4431472619904894827413955e-01
     7.853981633974483e-02 -3.2179516490001097706041833e-01 4.5915206132690400409046561e-01 5.9857206035459697979206339e-01
     7.853981633974483e-02 -2.8024241622034501419946650e-01 5.1834398038322104795838641e-01 5.4724427505917294656256900e-01
     7.853981633974483e-02 -2.3973722977793598953866194e-01 5.7057756957814398379724707e-01 4.9161031353870598969990624e-01
     7.853981633974483e-02 -2.0052933351654400606633999e-01 6.1549766293392105254156377e-01 4.3304075815331499743621180e-01
     7.853981633974483e-02 -1.6286045715456901050721683e-01 6.5303027249248801755499017e-01 3.7293292119920901095397880e-01
     7.853981633974483e-02 -1.2696284184095399383274128e-01 6.8336689270351302916139957e-01 3.1265055140854497439661941e-01
     7.853981633974483e-02 -9.3057808311276246637788745e-02 7.0693450252569201008867594e-01 2.5347226874906897409189810e-01
     7.853981633974483e-02 -6.1354392371814440998445406e-02 7.2435469247205896969887817e-01 1.9655165653020201244061127e-01
     7.853981633974483e-02 -3.2048056124290756618844256e-02 7.3639581883359195302318767e-01 1.4289057742817398710677423e-01
     7.853981633974483e-02 -5.3194828770167911641264524e-03 7.4392209295908795496643506e-01 9.3325918614087927105416043e-02
     7.853981633974483e-02 1.8666536827785368962695500e-02 7.4784311922794499682964897e-01 4.8528763987578452110405181e-02
     7.853981633974483e-02 3.9762121202474833003837063e-02 7.4906671497443599871957076e-01 9.0140465789175817923339906e-03
     7.853981633974483e-02 5.7837208954387812898101373e-02 7.4845701326163704969474111e-01 -2.4841893562903470671354711e-02
     7.853981633974483e-02 7.2780361156957254498145460e-02 7.4679899676993199975072457e-01 -5.2778726524482733051257810e-02
     7.853981633974483e-02 8.4499448307751967579548591e-02 7.4476984938745405262494614e-01 -7.4627423959244792994738305e-02
     7.853981633974483e-02 9.2922218337495407491921640e-02 7.4291692087324501247991293e-01 -9.0286114678896842167254988e-02
     7.853981633974483e-02 9.7996742068098829925304472e-02 7.4164172269869199638492319e-01 -9.9698824508420866297164764e-02
     7.853981633974483e-02 9.9691733373312801935739458e-02 7.4118921876726129305268387e-01 -1.0283895311366238189965117e-01
     7.853981633974483e-02 1.0107940833497100485693920e-01 7.4081171914370869124866203e-01 -1.0540862683735394145223552e-01
     7.853981633974483e-02 1.0523387774235799796418434e-01 7.3966244776795353477183426e-01 -1.1309822272717379165740681e-01
     7.853981633974483e-02 1.1212952791007499420139482e-01 7.3769174102794488057099898e-01 -1.2584901317220867356105884e-01
     7.853981633974483e-02 1.2172384486180400087196318e-01 7.3481899520762106181592799e-01 -1.4356166895701147345754123e-01
     7.853981633974483e-02 1.3395767644310099808713233e-01 7.3093588113018437280032913e-01 -1.6609427714151966948286088e-01
     7.853981633974483e-02 1.4875559701410701052282093e-01 7.2591076245345464990066375e-01 -1.9325993919094217043941342e-01
     7.853981633974483e-02 1.6602637247369300688148996e-01 7.1959422558591534802019396e-01 -2.2482429406965420692898761e-01
     7.853981633974483e-02 1.8566352274803599176067337e-01 7.1182559098069186909185646e-01 -2.6050336959981112983086859e-01
     7.853981633974483e-02 2.0754597827567800027992462e-01 7.0244023188311421890261954e-01 -2.9996219544979002558093839e-01
     7.853981633974483e-02 2.3153882644163800708092538e-01 6.9127747961456076364328283e-01 -3.4281460836037186412639244e-01
     7.853981633974483e-02 2.5749414335853998414549437e-01 6.7818884771376708453516358e-01 -3.8862464207669950022605576e-01
     7.853981633974483e-02 2.8525190586657300784168001e-01 6.6304626537498068117315597e-01 -4.3690982067232059238293118e-01
     7.853981633974483e-02 3.1464097812948199628380053e-01 6.4574997890658158983256953e-01 -4.8714656704504577522385489e-01
